"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"DEC1"	7549	6855	6145	7275
"DECR1"	1511	9036	7549	5421
"DECR2"	255	390	430	216
"DEDD"	0	26	142	0
"DEDD2"	176	183	200	384
"DEF8"	539	344	186	540
"DEFA1"	3792	4899	4110	6259
"DEFA1B"	225	162	327	190
"DEFA3"	314	0	107	61
"DEFA4"	218	202	582	372
"DEFA5"	9900	9187	8658	9363
"DEFA6"	239	16	347	343
"DEFB103A"	281	284	443	614
"DEFB104B"	78	103	7	127
"DEFB105A"	38	110	24	78
"DEFB105B"	122	117	92	226
"DEFB106A"	14575	10512	11264	15124
"DEFB106B"	609	654	1521	1299
"DEFB110"	416	239	707	873
"DEFB112"	11185	5474	4431	6969
"DEFB113"	9898	5630	13047	8417
"DEFB114"	9394	7498	8693	12592
"DEFB115"	1314	322	237	390
"DEFB116"	124	139	155	120
"DEFB118"	59	0	0	62
"DEFB119"	1060	365	1331	746
"DEFB124"	3904	5810	7020	5967
"DEFB125"	1687	446	1001	1007
"DEFB127"	272	1143	404	781
"DEFB129"	2885	2108	2004	3056
"DEFB130"	1298	3538	289	2085
"DEFB131"	13109	9342	9793	12540
"DEFB132"	6236	4198	7451	5554
"DEFB133"	8675	7803	15622	10319
"DEFB136"	0	394	138	0
"DEFB4A"	1941	2069	1195	1977
"DEFB4B"	23	0	68	1
"DEGS1"	3060	2466	1568	3764
"DEK"	5872	9129	6873	8532
"DENND1A"	306	774	537	568
"DENND1B"	2541	2076	1310	2536
"DENND1C"	1833	1849	4655	3096
"DENND2A"	95	156	236	41
"DENND2C"	94	119	46	51
"DENND5B"	867	960	1133	1265
"DENND6A"	14	261	293	67
"DENND6B"	203	3370	1210	1143
"DEPDC1"	19952	20001	15753	20748
"DEPDC1B"	265	838	762	733
"DEPDC4"	338	513	410	765
"DEPDC5"	628	289	822	334
"DEPDC7"	2371	2686	1495	3839
"DEPTOR"	326	381	676	250
"DERA"	562	406	322	635
"DERL3"	893	1586	590	1652
"DESI1"	127	242	46	54
"DET1"	634	636	738	1100
"DEXI"	142	62	111	107
"DFFA"	767	668	348	747
"DFFB"	731	1117	295	742
"DFNA5"	291	170	257	192
"DFNB31"	1848	1352	3527	2019
"DGAT1"	193	302	377	504
"DGAT2"	257	103	233	201
"DGAT2L6"	0	392	413	355
"DGCR2"	197	158	22	128
"DGCR6"	1631	1899	4133	2415
"DGCR6L"	60	0	60	0
"DGCR8"	4272	4217	5097	4465
"DGKB"	318	276	865	401
"DGKD"	94	573	314	1
"DGKE"	635	1272	65	588
"DGKH"	1875	1979	1654	3537
"DGKI"	1463	1249	1907	2369
"DGKQ"	37	226	487	60
"DGUOK"	172	481	656	224
"DHCR24"	555	523	537	503
"DHCR7"	2064	2882	5408	2332
"DHDH"	0	59	164	0
"DHFRL1"	42	0	157	165
"DHH"	8669	7710	17100	10725
"DHPS"	157	377	155	208
"DHRS1"	66	0	11	72
"DHRS11"	2091	2694	3793	2778
"DHRS12"	136	126	316	381
"DHRS3"	1324	1278	1344	846
"DHRS4"	8192	5446	7573	5519
"DHRS4L1"	10738	7751	13536	11925
"DHRS4L2"	4441	4470	3354	4737
"DHRS7"	1883	2207	3470	3501
"DHRS7B"	77	626	440	377
"DHRS7C"	853	732	1394	1537
"DHRS9"	2670	1498	2860	3340
"DHX29"	25	91	23	178
"DHX30"	1436	1541	1790	1603
"DHX32"	841	745	218	725
"DHX33"	1347	1865	3584	2047
"DHX35"	425	82	229	461
"DHX38"	0	0	16	0
"DHX57"	2667	3614	3560	4138
"DHX58"	0	164	42	78
"DHX8"	854	214	563	404
"DIABLO"	1028	1018	1190	1365
"DIAPH1"	451	582	399	773
"DIAPH3"	71	0	28	0
"DIDO1"	3173	2483	5380	2983
"DIEXF"	862	590	670	1484
"DIO1"	737	4596	2408	4178
"DIO2"	922	762	1126	1322
"DIO3"	2305	2138	4075	3055
"DIP2A"	98	47	9	41
"DIP2B"	7000	8404	6318	8408
"DIP2C"	1711	1231	1788	1358
"DIRAS1"	1218	1064	1760	1550
"DIRAS2"	1949	3418	5390	3656
"DIRAS3"	1819	1378	2687	1367
"DIRC1"	15360	10134	18860	13125
"DIRC2"	98	33	22	51
"DIS3"	108	182	180	0
"DIS3L"	0	32	0	0
"DISC1"	10200	9372	16543	10359
"DISP1"	865	431	1143	1414
"DISP2"	668	6620	3283	4152
"DIXDC1"	965	2014	2294	2301
"DKC1"	1880	880	1890	2238
"DKK1"	278	286	54	254
"DKK2"	164	252	319	198
"DKK3"	7306	6429	6532	9064
"DKK4"	49	10	73	142
"DLAT"	129	414	191	161
"DLC1"	1294	1515	768	1518
"DLD"	0	0	50	60
"DLEC1"	0	28	0	0
"DLEU7"	25	0	42	0
"DLG1"	2991	1434	2350	2738
"DLG2"	1304	925	198	648
"DLG3"	539	2242	142	1144
"DLG5"	4698	3309	8148	5676
"DLGAP1"	22	0	0	0
"DLGAP2"	55	338	90	57
"DLGAP3"	3028	2773	7915	4606
"DLK1"	4	106	308	147
"DLK2"	0	71	0	0
"DLL1"	114	0	78	83
"DLL3"	0	146	57	94
"DLL4"	20838	18575	28686	21745
"DLST"	213	41	169	109
"DLX2"	24	0	124	69
"DLX3"	1305	1139	1813	1191
"DLX4"	3579	2183	4606	3483
"DLX5"	9922	5053	6470	5792
"DLX6"	383	182	236	299
"DMBT1"	1688	1373	1724	544
"DMBX1"	1460	2496	662	2156
"DMC1"	582	868	531	773
"DMD"	14	0	41	0
"DMP1"	334	597	567	428
"DMPK"	6057	5555	8665	6941
"DMRT1"	3361	3007	5868	3408
"DMRT2"	272	143	141	215
"DMRT3"	3668	1911	2248	2564
"DMRTB1"	5070	9035	7505	7922
"DMRTC1B"	2369	2336	4334	3421
"DMRTC2"	3370	2121	1352	1971
"DMTF1"	51	426	181	248
"DMTN"	1980	2328	2033	2447
"DMWD"	63	0	0	0
"DNAAF1"	774	607	496	550
"DNAAF2"	0	24	0	55
"DNAAF3"	1448	1793	2540	1663
"DNAAF5"	296	230	820	1001
"DNAH1"	4662	3823	4313	6180
"DNAH11"	9366	12348	15506	11338
"DNAH12"	2415	1325	1417	1690
"DNAH14"	1588	2347	1301	1997
"DNAH2"	654	704	1284	581
"DNAH3"	2370	1910	2437	2765
"DNAH5"	2366	2060	2866	2784
"DNAH6"	3429	2433	3547	2884
"DNAH8"	836	556	345	1006
"DNAH9"	27	0	0	0
"DNAI1"	2525	1269	1755	4125
"DNAJA1"	165	2491	2351	571
"DNAJA4"	13292	11077	20854	15575
"DNAJB11"	0	68	0	0
"DNAJB13"	1049	2057	843	2017
"DNAJB14"	0	0	33	0
"DNAJB2"	11323	10007	12906	12227
"DNAJB4"	104	0	105	0
"DNAJB5"	47	0	175	95
"DNAJB6"	0	84	17	1
"DNAJB7"	0	0	8	0
"DNAJB8"	526	760	960	821
"DNAJC1"	1088	940	750	1446
"DNAJC10"	1033	1329	1047	1295
"DNAJC13"	1906	8508	1152	3440
"DNAJC17"	567	477	734	534
"DNAJC18"	1566	549	777	900
"DNAJC19"	252	51	117	266
"DNAJC21"	34	0	0	0
"DNAJC22"	219	0	0	0
"DNAJC25"	458	488	685	644
"DNAJC30"	2278	1368	4064	2088
"DNAJC4"	730	403	421	764
"DNAJC5"	1033	341	691	394
"DNAJC5G"	876	1614	1455	1210
"DNAJC7"	5596	5170	5420	4774
"DNAJC8"	1	1	23	6
"DNAJC9"	804	449	769	798
"DNALI1"	4375	4472	9114	6016
"DNASE1"	3020	3041	3004	3751
"DNASE1L2"	1954	1076	2830	1312
"DNASE1L3"	2887	2612	3247	2944
"DNASE2"	148	333	29	0
"DNASE2B"	6525	9160	12096	8899
"DND1"	100	0	93	61
"DNER"	1866	2407	2508	1903
"DNLZ"	0	45	42	129
"DNM1"	1125	1753	1976	1442
"DNM2"	6145	3496	9080	5089
"DNMT3A"	3330	4816	6618	3599
"DNMT3B"	535	192	351	680
"DNMT3L"	105	244	268	395
"DNPH1"	0	76	4	0
"DNTTIP1"	271	46	69	2
"DOC2A"	3211	3497	4666	3290
"DOC2B"	561	13319	6937	6760
"DOCK1"	3139	3507	5589	4574
"DOCK10"	0	0	58	33
"DOCK11"	388	710	199	715
"DOCK3"	717	48	330	335
"DOCK4"	7498	8711	10513	7962
"DOCK5"	88	284	241	256
"DOCK6"	661	353	927	635
"DOCK7"	85	75	154	199
"DOCK8"	640	790	880	533
"DOCK9"	2190	2580	3536	2624
"DOHH"	6	0	0	0
"DOK2"	949	1745	1548	1516
"DOK3"	3859	3346	5024	5630
"DOK4"	146	2816	3014	1817
"DOK5"	0	82	163	230
"DOK6"	8399	7359	8470	10384
"DOK7"	143	216	686	574
"DOLPP1"	725	1022	979	561
"DOPEY1"	44	140	128	197
"DOT1L"	55	125	105	207
"DPCD"	716	425	432	320
"DPCR1"	266	412	816	615
"DPEP1"	28668	16343	27523	30403
"DPEP2"	3294	3139	7255	5666
"DPEP3"	1254	1182	929	729
"DPF2"	193	475	339	575
"DPH2"	171	298	280	204
"DPH3P1"	6950	6831	7727	7375
"DPH5"	2727	1115	2615	2487
"DPM1"	0	0	7	72
"DPM2"	3747	3067	3220	2761
"DPM3"	75	193	302	371
"DPP10"	3357	4020	3750	4345
"DPP3"	9245	9127	15529	10633
"DPP6"	6980	4417	1825	6335
"DPP7"	545	402	383	868
"DPP8"	176	53	0	0
"DPP9"	18	0	85	0
"DPPA2"	80	0	37	0
"DPPA3"	2349	2677	3258	1923
"DPPA4"	2982	2517	1968	4155
"DPPA5"	1229	2058	1700	2621
"DPRX"	42	256	277	0
"DPT"	3862	4407	5205	3689
"DPY19L1"	0	0	11	0
"DPY19L3"	1177	1168	1047	1431
"DPY19L4"	328	158	27	255
"DPYS"	518	68	316	114
"DPYSL3"	66	29	59	0
"DPYSL4"	355	730	358	398
"DPYSL5"	4248	3009	6910	4672
"DQX1"	2056	2157	3629	2656
"DRAM1"	2253	1619	642	2379
"DRAM2"	0	151	0	99
"DRAXIN"	10082	10057	13757	12331
"DRC1"	0	38	23	1
"DRD1"	732	1820	1499	2078
"DRD2"	891	182	936	646
"DRD3"	10669	12860	12576	13305
"DRD4"	628	36	162	122
"DRD5"	5616	1435	2802	2760
"DRG2"	144	353	146	336
"DRGX"	293	221	167	48
"DRICH1"	1839	3273	668	2538
"DRP2"	472	429	515	472
"DSC1"	129	182	149	141
"DSC2"	77	251	135	143
"DSC3"	1331	667	2304	1774
"DSCAML1"	1193	999	930	1449
"DSCC1"	1244	2268	2772	2647
"DSCR4"	131	291	238	152
"DSE"	2730	3908	2126	2854
"DSEL"	998	1078	1555	1676
"DSG1"	621	502	275	395
"DSG2"	14111	16415	14298	18811
"DSN1"	44	65	19	0
"DSP"	4124	3460	3432	3926
"DSPP"	544	197	130	262
"DST"	676	485	85	421
"DSTN"	6870	9736	4907	7715
"DTD1"	146	138	18	388
"DTD2"	1886	1223	1038	1690
"DTHD1"	37	0	67	44
"DTNA"	4266	3715	5625	5439
"DTWD1"	0	108	20	102
"DTWD2"	172	291	484	290
"DTX2"	4272	1814	1296	1934
"DTX3L"	84	57	0	167
"DTX4"	221	583	1108	1139
"DUOX1"	28	1085	678	374
"DUOX2"	1966	1741	1841	1742
"DUOXA1"	1313	3939	1764	1984
"DUOXA2"	5944	6265	15318	7304
"DUPD1"	1599	2074	1740	806
"DUS1L"	2118	2667	2297	2960
"DUS2"	382	160	486	422
"DUS4L"	673	1917	792	1639
"DUSP1"	603	258	616	382
"DUSP10"	2028	2872	2235	2100
"DUSP12"	0	0	39	0
"DUSP14"	19	0	0	0
"DUSP15"	33	0	0	0
"DUSP16"	124	89	150	0
"DUSP18"	431	515	424	891
"DUSP2"	5286	6340	14544	5838
"DUSP23"	3480	5056	7186	4581
"DUSP28"	939	558	2022	1156
"DUSP3"	614	1037	1431	1093
"DUSP4"	61	189	30	10
"DUSP5"	11183	3538	10459	7221
"DUSP7"	20	75	0	106
"DUSP8"	105	0	174	216
"DUSP9"	2342	3153	5565	3604
"DUT"	26	0	0	0
"DUX4"	2	0	0	0
"DVL1"	448	1492	812	1298
"DVL2"	1475	895	2152	1670
"DVL3"	19065	12346	27577	17887
"DXO"	455	252	259	434
"DYDC1"	210	597	94	161
"DYDC2"	497	69	158	49
"DYM"	0	201	81	140
"DYNAP"	2886	2252	1999	2073
"DYNC1I1"	6018	1699	5186	5134
"DYNC1I2"	6065	6955	858	6848
"DYNC1LI1"	1032	1451	2716	1549
"DYNC1LI2"	50	67	0	92
"DYNC2H1"	663	437	556	783
"DYNC2LI1"	5535	7015	7918	6824
"DYNLL1"	146	0	596	256
"DYNLRB1"	0	0	18	0
"DYNLRB2"	220	46	290	515
"DYNLT1"	4427	3548	3211	5991
"DYNLT3"	608	617	933	1410
"DYRK1B"	117	331	432	221
"DYRK3"	32	72	35	0
"DYRK4"	135	221	103	50
"DYSF"	1664	989	1897	1461
"DYTN"	2826	2330	3288	3077
"DYX1C1"	4269	5437	3199	3902
"DZIP1"	38	894	327	466
"DZIP1L"	12549	11074	22961	14400
"E2F1"	1257	886	2128	2390
"E2F2"	4434	3922	5534	5624
"E2F4"	2411	2079	3854	3521
"E2F5"	997	454	465	436
"E2F6"	0	0	22	46
"E2F7"	1262	1793	1556	1510
"EBAG9"	638	608	1039	1047
"EBF1"	54	0	0	1
"EBF2"	16156	14780	26008	19990
"EBF3"	0	102	0	0
"EBF4"	5731	4918	10947	8523
"EBI3"	5132	3616	5555	4802
"EBLN1"	704	633	674	481
"EBLN2"	2478	2453	2035	2626
"EBP"	6009	3817	8717	6243
"ECD"	0	55	17	117
"ECE2"	1889	2049	3204	2627
"ECH1"	1551	2199	3733	3656
"ECHDC1"	1186	1120	358	794
"ECHDC2"	4335	2755	4345	2907
"ECHDC3"	1739	914	805	896
"ECHS1"	3495	2181	4171	3506
"ECM2"	381	6401	2436	1951
"ECSCR"	2340	1309	3106	2592
"ECT2"	0	0	42	0
"EDA2R"	873	611	775	1854
"EDAR"	1108	1592	1379	1767
"EDARADD"	0	0	18	0
"EDC3"	2173	2214	1918	2025
"EDC4"	1615	1409	2288	1208
"EDDM3A"	13078	10837	9070	13424
"EDEM1"	0	57	0	0
"EDEM2"	1319	126	544	1215
"EDEM3"	12414	13501	13934	16607
"EDN1"	2217	2309	3852	2646
"EDN2"	652	880	1250	872
"EDN3"	572	303	768	150
"EDNRA"	473	1205	861	847
"EDRF1"	0	0	53	0
"EEA1"	0	0	7	45
"EEF1A2"	1862	1414	4297	1993
"EEF1B2"	1265	1341	2047	1711
"EEF1D"	517	309	1433	1081
"EEF1E1"	74	135	1	29
"EEF2"	179	673	444	859
"EEF2K"	0	0	102	0
"EEF2KMT"	739	1783	1631	1429
"EEFSEC"	37	0	0	0
"EEPD1"	891	1072	1104	1316
"EFCAB14"	608	453	303	630
"EFCAB3"	158	87	68	0
"EFCAB5"	54	64	0	0
"EFCAB7"	50	0	53	0
"EFCAB9"	552	834	1038	1238
"EFCC1"	375	344	621	882
"EFEMP1"	1253	852	2157	2208
"EFEMP2"	1554	1213	2661	1065
"EFHB"	294	252	167	449
"EFHC1"	839	930	665	1637
"EFHC2"	1707	2434	724	2142
"EFHD2"	1	0	38	84
"EFNA1"	1	0	1	6
"EFNA2"	0	0	14	81
"EFNA3"	1149	2136	2745	2108
"EFNA5"	604	812	281	1381
"EFNB1"	348	573	393	765
"EFNB2"	4679	4747	6023	8854
"EFR3A"	382	581	224	538
"EFR3B"	170	4	203	246
"EFS"	2919	2971	5128	3650
"EFTUD1"	655	1242	158	952
"EGF"	463	309	193	499
"EGFL7"	534	373	889	185
"EGFL8"	35	0	0	0
"EGFLAM"	8017	9252	7094	9384
"EGLN1"	10306	9413	18814	13537
"EGLN3"	1068	239	755	1041
"EGR1"	4522	4303	8962	5935
"EGR3"	141	204	314	263
"EGR4"	2436	1220	1512	2783
"EHBP1"	1352	1542	1805	1194
"EHBP1L1"	628	395	245	572
"EHD2"	121	132	117	0
"EHD3"	2176	1989	794	2433
"EHD4"	1872	2239	2095	2386
"EHHADH"	345	924	900	896
"EHMT1"	7188	6762	13202	9728
"EHMT2"	812	1608	1116	1655
"EID1"	1922	1374	1120	1862
"EID2B"	2821	2656	5839	3768
"EID3"	3049	2390	5644	4354
"EIF1AX"	0	0	10	0
"EIF1AY"	11	0	0	0
"EIF1B"	3411	3506	2707	2577
"EIF2AK1"	679	273	543	1080
"EIF2AK2"	3406	3885	1139	4156
"EIF2AK3"	1014	1104	1831	2145
"EIF2AK4"	7630	4806	22896	9420
"EIF2B2"	9	0	0	0
"EIF2B4"	233	218	197	151
"EIF2D"	3161	3585	2119	4825
"EIF2S1"	97	211	25	258
"EIF3C"	0	0	46	0
"EIF3F"	0	0	71	65
"EIF3H"	144	61	8	175
"EIF3I"	3393	2825	3566	3684
"EIF3J"	261	2578	1172	1189
"EIF3K"	37	156	121	210
"EIF4A2"	30294	16020	31008	22878
"EIF4B"	0	0	45	0
"EIF4E"	0	13	12	0
"EIF4E1B"	13	0	0	0
"EIF4E3"	3374	1897	5138	3039
"EIF4EBP1"	0	28	10	7
"EIF4EBP2"	1867	2686	4936	4092
"EIF4EBP3"	0	0	0	50
"EIF4G2"	0	78	51	0
"EIF4G3"	256	133	62	143
"EIF4H"	921	794	763	1324
"EIF5A2"	928	1254	982	1505
"EIF5AL1"	729	1174	533	1355
"ELAC1"	1925	1121	1981	1761
"ELAC2"	1177	2102	2537	1728
"ELANE"	48	240	255	202
"ELAVL1"	836	1460	2959	1768
"ELAVL3"	837	1159	306	737
"ELF1"	1478	990	1735	1083
"ELF4"	3190	3278	6053	4020
"ELF5"	1678	3321	3195	3209
"ELFN1"	12	121	16	0
"ELFN2"	11279	13393	15754	14198
"ELK3"	14716	13977	23310	15640
"ELK4"	0	529	279	187
"ELL2"	53	1677	89	188
"ELL3"	3	0	0	0
"ELMO2"	4055	3587	5602	5703
"ELMO3"	231	974	774	580
"ELMOD1"	2085	2674	1249	2082
"ELMOD2"	319	1937	1017	1057
"ELMOD3"	1880	1122	1354	1556
"ELMSAN1"	2666	3625	4466	5803
"ELN"	1043	1998	1804	1615
"ELOVL1"	757	495	880	430
"ELOVL2"	311	422	605	478
"ELOVL3"	723	615	407	578
"ELOVL4"	807	1375	780	1431
"ELP2"	353	538	894	839
"ELP6"	5418	7642	8492	8895
"ELSPBP1"	71	0	26	39
"EMB"	58	80	56	56
"EMC1"	2316	2637	1794	2161
"EMC10"	241	263	259	250
"EMC3"	3	0	0	0
"EMC4"	6314	7323	8207	7573
"EMD"	649	814	1248	647
"EME1"	302	357	276	535
"EMG1"	0	175	126	159
"EMID1"	0	0	51	0
"EMILIN2"	5402	5719	3149	5689
"EMILIN3"	755	466	1065	310
"EML3"	765	852	643	1532
"EML4"	671	453	294	494
"EML5"	133	158	242	149
"EMP1"	927	716	1156	754
"EMP3"	154	894	1022	764
"EMX1"	93	268	258	410
"EMX2"	622	1086	1199	569
"EN1"	1943	2065	3719	2540
"EN2"	1728	2243	3281	2951
"ENAM"	4905	5731	4185	6101
"ENC1"	2250	1200	1962	1430
"ENDOD1"	2885	2795	2730	2962
"ENDOG"	2771	1949	3695	2737
"ENDOV"	11395	9491	11918	9611
"ENG"	443	482	1416	881
"ENGASE"	10	87	22	73
"ENHO"	2298	974	3608	2153
"ENKD1"	9582	10173	15441	9483
"ENKUR"	27	207	58	0
"ENO2"	102	0	0	0
"ENO3"	14108	8894	17626	12697
"ENO4"	21295	17470	16549	18856
"ENOPH1"	354	66	177	435
"ENOSF1"	1462	661	902	1156
"ENOX1"	716	235	601	806
"ENOX2"	440	1764	736	937
"ENPEP"	377	397	954	148
"ENPP1"	137	0	25	334
"ENPP2"	73	242	201	61
"ENPP3"	184	207	89	263
"ENPP4"	10	0	0	0
"ENPP5"	7637	7445	11160	7498
"ENPP6"	4	0	0	0
"ENPP7"	2053	1879	3169	1748
"ENTHD1"	963	1448	1388	1397
"ENTPD1"	3548	3318	6346	4343
"ENTPD3"	1517	759	1495	1791
"ENTPD5"	0	0	6	0
"ENTPD6"	178	480	292	196
"ENTPD7"	2768	1884	1789	2159
"ENTPD8"	0	0	26	0
"ENY2"	225	0	202	196
"EOGT"	211	253	572	319
"EOMES"	2252	2173	3221	2606
"EP300"	2117	1678	1087	1982
"EPAS1"	1	0	8	94
"EPB41L1"	407	151	164	154
"EPB41L2"	0	118	0	17
"EPB41L3"	214	139	171	110
"EPB41L4A"	512	13	91	51
"EPB41L4B"	6627	5630	6336	7556
"EPB41L5"	1825	3134	2447	2240
"EPC1"	1540	2318	1298	3048
"EPCAM"	238	356	431	313
"EPDR1"	323	386	338	557
"EPG5"	1397	351	1571	980
"EPHA1"	17	0	0	0
"EPHA2"	0	0	6	69
"EPHA3"	106	0	244	122
"EPHA4"	623	297	467	318
"EPHA5"	261	278	57	430
"EPHA6"	598	620	666	582
"EPHA7"	996	702	1177	953
"EPHA8"	8479	6663	6532	8630
"EPHB1"	14179	16629	22163	18890
"EPHB3"	179	102	102	136
"EPHB4"	1139	1681	1689	1588
"EPHB6"	0	0	90	0
"EPHX1"	2536	1337	3892	2055
"EPHX2"	1929	191	1544	622
"EPHX3"	7826	6132	11282	8269
"EPM2AIP1"	1201	931	1407	1391
"EPN1"	6316	7105	11032	8955
"EPN2"	0	65	111	43
"EPN3"	788	458	295	512
"EPOR"	539	711	612	409
"EPPIN"	2566	1475	1570	1514
"EPPIN-WFDC6"	1973	4361	1330	4117
"EPPK1"	3468	4101	8801	5652
"EPRS"	33	0	0	0
"EPS15"	296	622	380	930
"EPS15L1"	490	951	278	871
"EPS8L2"	3035	2509	4614	3271
"EPSTI1"	88	365	135	241
"EPX"	3	1	6	3
"EQTN"	7091	6355	7688	7050
"ERAL1"	0	0	107	158
"ERAP1"	567	605	573	644
"ERAP2"	531	600	371	347
"ERAS"	686	244	531	307
"ERBB2"	867	646	771	802
"ERBB3"	41	0	380	0
"ERBB4"	0	0	57	49
"ERC1"	10294	10917	9613	13987
"ERC2"	237	147	111	378
"ERCC1"	538	1635	1379	966
"ERCC2"	4034	5934	10326	5973
"ERCC5"	268	344	89	58
"ERCC6"	85	61	58	0
"ERCC6-PGBD3"	103	277	451	206
"ERCC6L"	508	1144	451	697
"ERCC8"	21	0	44	123
"EREG"	1465	1238	2028	2732
"ERF"	0	66	76	0
"ERG"	2146	3612	2647	2505
"ERGIC1"	0	0	0	88
"ERGIC2"	62	275	27	129
"ERGIC3"	1417	1651	2724	2633
"ERI1"	5	0	0	0
"ERI2"	1451	1293	532	1476
"ERICH1"	19066	9273	22405	16709
"ERICH2"	658	792	1697	572
"ERICH3"	11986	9668	8524	12231
"ERICH4"	131	191	139	96
"ERICH5"	1629	1497	378	1066
"ERICH6"	10	89	49	122
"ERICH6B"	9897	4475	7019	6025
"ERLIN2"	2534	2174	2709	3266
"ERMAP"	703	537	421	634
"ERMARD"	2211	2522	1565	1668
"ERMP1"	695	428	842	783
"ERN1"	11244	11116	22430	16233
"ERN2"	1304	1068	2060	1166
"ERO1L"	118	235	276	162
"ERO1LB"	2473	2624	1750	3485
"ERP27"	1115	1133	1405	1056
"ERP29"	3844	4095	2842	4099
"ERRFI1"	102	173	27	154
"ERVFRD-1"	1034	1281	370	1226
"ERVMER34-1"	0	113	287	37
"ERVV-2"	8342	5142	1327	6829
"ERVW-1"	82	0	0	0
"ESAM"	740	894	1743	1334
"ESCO1"	3448	2787	1462	3668
"ESD"	3393	2897	2610	3023
"ESPL1"	0	118	45	0
"ESPN"	163	303	176	157
"ESPNL"	2825	3181	5693	3524
"ESR2"	1615	987	2477	1344
"ESRP1"	1344	874	1886	1455
"ESRP2"	0	40	0	0
"ESRRA"	412	128	256	319
"ESRRB"	0	0	0	34
"ESRRG"	166	451	242	345
"ESX1"	810	1456	1690	1660
"ESYT2"	113	0	4	0
"ETAA1"	24	716	76	34
"ETFA"	5787	5482	9562	6584
"ETFB"	105	82	25	115
"ETFDH"	1304	1663	625	2242
"ETHE1"	1664	2301	2486	2840
"ETNK2"	626	431	428	384
"ETNPPL"	2014	2604	3301	2231
"ETS2"	107	225	753	87
"ETV2"	318	279	841	174
"ETV3"	241	998	240	524
"ETV3L"	0	298	60	146
"ETV4"	646	1290	324	533
"ETV5"	448	1003	478	1001
"ETV6"	6576	6357	14587	9133
"ETV7"	1236	1798	1290	1198
"EVA1A"	1699	986	2060	1360
"EVA1B"	891	1144	971	1005
"EVC"	6001	5082	9435	6585
"EVC2"	4999	4546	4059	4935
"EVI2A"	2815	2297	4236	3334
"EVI5L"	870	748	2268	1543
"EVL"	4183	2871	5827	3039
"EVPLL"	36	307	60	1
"EVX1"	643	391	1482	936
"EVX2"	123	287	678	463
"EXD2"	2328	2295	1690	2976
"EXO5"	5321	4116	3581	5354
"EXOC1"	97	64	0	61
"EXOC2"	229	793	124	255
"EXOC3L1"	3	0	0	0
"EXOC3L2"	15	118	210	0
"EXOC3L4"	7483	8161	17077	12193
"EXOC6"	2936	2401	1564	4350
"EXOC6B"	23	1	58	125
"EXOC7"	11459	14368	19315	16102
"EXOG"	106	253	114	154
"EXOSC1"	1260	2828	1977	1259
"EXOSC3"	0	0	13	0
"EXOSC6"	122	232	146	247
"EXOSC7"	30	208	122	304
"EXOSC8"	3086	2593	3460	3612
"EXOSC9"	0	0	8	0
"EXPH5"	0	81	272	0
"EXT1"	102	58	7	230
"EXT2"	54	0	250	295
"EXTL1"	56	8	38	21
"EXTL2"	294	551	66	547
"EXTL3"	82	13	118	157
"EYA1"	3790	5256	7252	4221
"EYA2"	44	87	107	217
"EYA3"	1662	1165	1510	2100
"EYA4"	122	0	0	0
"EYS"	73	321	155	296
"EZH1"	800	909	385	513
"EZH2"	654	305	119	294
"F11"	253	0	309	173
"F11R"	909	489	1211	932
"F12"	1378	1657	861	1937
"F13A1"	490	554	306	646
"F13B"	0	0	34	0
"F2"	266	68	239	776
"F2R"	165	420	444	475
"F2RL1"	363	368	392	92
"F2RL2"	491	223	116	636
"F2RL3"	616	306	319	582
"F3"	23	723	693	353
"F5"	48687	46826	56673	69204
"F7"	833	1094	858	970
"F8A3"	0	0	2	0
"F9"	128	196	224	409
"FAAH"	1693	882	1763	1467
"FABP1"	1004	1420	2013	2345
"FABP12"	352	300	93	339
"FABP4"	717	380	531	910
"FABP5"	0	473	310	735
"FABP6"	987	716	964	1172
"FADS1"	133	94	493	53
"FADS2"	433	175	808	479
"FADS3"	174	1031	638	661
"FAF1"	367	291	836	461
"FAF2"	114	184	157	0
"FAHD1"	27	2139	2319	1570
"FAHD2A"	24	0	0	0
"FAHD2B"	4204	2942	6128	3954
"FAIM"	590	541	571	747
"FAIM3"	799	658	450	929
"FAM102A"	15952	15812	30069	23226
"FAM102B"	331	262	1512	870
"FAM104A"	60	0	0	0
"FAM105A"	272	757	172	656
"FAM107A"	2049	1824	4724	2623
"FAM107B"	941	1296	104	1129
"FAM109B"	2341	1541	2948	2866
"FAM110A"	36	0	0	0
"FAM110B"	1279	1407	2210	1390
"FAM110D"	1136	131	999	1587
"FAM111A"	458	888	387	905
"FAM111B"	839	367	550	762
"FAM114A2"	10	63	16	85
"FAM118A"	0	0	211	64
"FAM120A"	467	310	254	456
"FAM120AOS"	164	256	59	250
"FAM122A"	0	89	46	0
"FAM122B"	111	59	146	162
"FAM122C"	62	278	101	144
"FAM124A"	0	73	0	47
"FAM124B"	28	343	0	0
"FAM126A"	1904	1193	627	1419
"FAM126B"	8312	13557	7178	11003
"FAM127A"	644	900	1416	1210
"FAM127B"	3106	2570	3562	6538
"FAM127C"	0	1	1	0
"FAM129B"	17	0	0	0
"FAM129C"	1308	1058	1600	938
"FAM131A"	7084	12363	8720	11426
"FAM131B"	365	157	237	429
"FAM131C"	417	454	362	107
